Unnamed: 0,SMILES,target_OPRD1_standard_value,compound_id
267,CC(C)(C)c1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1,4.49485,185
269,Cc1c(Cl)sn(-c2ccc(Cl)cc2)c1=O,4.49485,186
270,CCN(CCCNC(=O)C1CCN(S(=O)(=O)N2CCC3(CC2)OCCO3)CC1)c1ccccc1,4.49485,187
272,CCC(=O)OCCNc1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],6.30103,188
273,O=C(OCn1ncc(Br)c(Br)c1=O)c1ccc(F)cc1,4.946090602567232,189
276,CC1C(=Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])C(=O)N(c2ccccc2)N1C,4.49485,190
277,COc1ccc(C(=O)/C=C/C(=O)N(CC(=O)NC2CCCCC2)Cc2ccccc2)c(O)c1,4.49485,191
278,Cc1nnc(Sc2cc(NCCCO)c([N+](=O)[O-])c3nonc23)s1,4.49485,192
280,Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4,8.365941628551708,193
282,Cc1ccc(NC(=O)c2cc(N3C(=O)C=CC3=O)ccc2N2CCOCC2)cc1,4.49485,194
283,O=C(CSc1nnc(-c2ccccn2)n1Cc1ccco1)c1ccc(Cl)cc1,4.49485,195
284,CC(NC(=O)Cn1ncc(Cl)c(Cl)c1=O)C12CC3CC(CC(C3)C1)C2,5.19,196
288,O=c1cc(-c2c(F)c(F)c(F)c(F)c2F)oc2ccccc12,4.926873948128822,197
289,CN(C(=O)Cc1ccccc1)[C@@H]1CC[C@]2(CCCO2)C[C@H]1N1CCCC1,4.49485,198
290,CN(C)C[C@@H](O)Cn1cc(C2CCN(C3Cc4cccc5cccc3c45)CC2)c2ccc(F)cc21,5.301029995663981,199
291,CO[C@@H](C)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,7.071424574373423,200
292,CC(C)(CCCCCCC(C)(C)C(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)C(=O)OCc1ccccc1,6.67944517631652,201
293,CC(C)CCC(C)N1CCC(N2c3ccccc3CNS2(=O)=O)CC1,5.698970004336019,202
294,CCC[C@@H](C)CN1CCC(c2cccc(O)c2)(c2ncc(C(=O)N(CC)CC)cn2)CC1,8.544742501084006,203
297,CCN(CC)C(=O)c1ccc(C2(c3cccc(O)c3)CCCN(CC3CC3)C2)cc1,8.980477503252015,204
298,O=C(CCc1ccccc1)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,7.911820042331313,205
299,OC1(c2ccccc2)CCN(C(c2ccccc2)c2cccnc2)CC1,4.94132660010252,206
300,O=C1N(CCCN2CCCC2)CN(c2ccccc2)C12CCN(C(c1ccccc1Cl)c1ccccc1Cl)CC2,5.6216201511487816,207
